,F1_URL,F1_First,F1_Last,F2_URL,F2_First,F2_Last,F1_Age,F2_Age,Height_Delta,Weight_Delta,Reach_Delta,Age_Delta,F1_avg_KD,F2_avg_KD,F1_avg_Str_Landed,F2_avg_Str_Landed,F1_avg_Str_Attempted,F2_avg_Str_Attempted,F1_Avg_Str_Accuracy,F2_Avg_Str_Accuracy,F1_avg_Sig_Str_Landed,F2_avg_Sig_Str_Landed,F1_avg_Sig_Str_Attempted,F2_avg_Sig_Str_Attempted,F1_Avg_Sig_Str_Accuracy,F2_Avg_Sig_Str_Accuracy,F1_avg_Sig_Str_Head_Landed,F2_avg_Sig_Str_Head_Landed,F1_avg_Sig_Str_Head_Attempted,F2_avg_Sig_Str_Head_Attempted,F1_Avg_Sig_Str_Head_Accuracy,F2_Avg_Sig_Str_Head_Accuracy,F1_avg_Sig_Str_Body_Landed,F2_avg_Sig_Str_Body_Landed,F1_avg_Sig_Str_Body_Attempted,F2_avg_Sig_Str_Body_Attempted,F1_Avg_Sig_Str_Body_Accuracy,F2_Avg_Sig_Str_Body_Accuracy,F1_avg_Sig_Str_Leg_Landed,F2_avg_Sig_Str_Leg_Landed,F1_avg_Sig_Str_Leg_Attempted,F2_avg_Sig_Str_Leg_Attempted,F1_Avg_Sig_Str_Leg_Accuracy,F2_Avg_Sig_Str_Leg_Accuracy,F1_avg_Sig_Str_Distance_Landed,F2_avg_Sig_Str_Distance_Landed,F1_avg_Sig_Str_Distance_Attempted,F2_avg_Sig_Str_Distance_Attempted,F1_Avg_Sig_Str_Distance_Accuracy,F2_Avg_Sig_Str_Distance_Accuracy,F1_avg_Sig_Str_Clinch_Landed,F2_avg_Sig_Str_Clinch_Landed,F1_avg_Sig_Str_Clinch_Attempted,F2_avg_Sig_Str_Clinch_Attempted,F1_Avg_Sig_Str_Clinch_Accuracy,F2_Avg_Sig_Str_Clinch_Accuracy,F1_avg_Sig_Str_Ground_Landed,F2_avg_Sig_Str_Ground_Landed,F1_avg_Sig_Str_Ground_Attempted,F2_avg_Sig_Str_Ground_Attempted,F1_Avg_Sig_Str_Ground_Accuracy,F2_Avg_Sig_Str_Ground_Accuracy,F1_avg_TD_Landed,F2_avg_TD_Landed,F1_avg_TD_Attempted,F2_avg_TD_Attempted,F1_Avg_TD_Accuracy,F2_Avg_TD_Accuracy,F1_avg_Sub_Landed,F2_avg_Sub_Landed,F1_avg_Sub_Attempted,F2_avg_Sub_Attempted,F1_Avg_Sub_Accuracy,F2_Avg_Sub_Accuracy,F1_avg_Rev,F2_avg_Rev,F1_avg_CTRL_TIME,F2_avg_CTRL_TIME
0,http://www.ufcstats.com/fighter-details/05339613bf8e9808,Rob,Font,http://www.ufcstats.com/fighter-details/d8c7c61b176e3994,Cody,Garbrandt,33.0,29.0,0.0,0.0,6.0,4.0,0.55,1.0,51.64,31.2,116.64,81.5,0.44,0.38,47.45,0.0,112.0,80.2,0.42,0.37,35.18,0.0,95.55,69.6,0.37,0.34,8.82,0.0,12.09,5.4,0.73,0.52,3.45,0.0,4.36,5.2,0.79,0.65,38.91,0.0,100.82,74.9,0.39,0.36,4.36,0.0,5.45,1.5,0.8,0.6,4.18,0.0,5.73,3.8,0.73,0.5,0.73,0.0,2.0,1.5,0.36,0.33,0.0,0.0,0.45,0.0,0.0,0.0,0.18,0.0,67.0,14.6
1,http://www.ufcstats.com/fighter-details/c41d426cc7326d1b,Yan,Xiaonan,http://www.ufcstats.com/fighter-details/d910665038efc639,Carla,Esparza,31.0,33.0,4.0,0.0,0.0,-2.0,0.0,0.0,120.33,89.92,255.67,142.83,0.47,0.63,96.33,0.0,227.67,77.17,0.42,0.42,69.0,0.0,186.83,65.67,0.37,0.36,10.33,0.0,15.67,6.92,0.66,0.76,17.0,0.0,25.17,4.58,0.68,0.76,84.5,0.0,210.33,55.33,0.4,0.32,8.5,0.0,12.83,8.17,0.66,0.61,3.33,0.0,4.5,13.67,0.74,0.71,1.0,0.0,1.33,9.17,0.75,0.35,0.0,0.0,0.0,0.33,0.0,0.25,0.0,0.33,73.33,255.92
2,http://www.ufcstats.com/fighter-details/e13abac8089a801a,Justin,Tafa,http://www.ufcstats.com/fighter-details/2b68d9f125d07b42,Jared,Vanderaa,27.0,29.0,-4.0,4.0,-6.0,-2.0,0.33,0.0,45.33,30.5,68.67,48.0,0.66,0.64,34.0,0.0,57.33,34.5,0.59,0.52,20.0,0.0,41.33,27.5,0.48,0.4,7.0,0.0,8.67,3.0,0.81,1.0,7.0,0.0,7.33,4.0,0.95,1.0,28.0,0.0,49.0,25.5,0.57,0.45,5.67,0.0,7.33,3.5,0.77,0.57,0.33,0.0,1.0,5.5,0.33,0.82,0.0,0.0,0.67,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.33,26.0
3,http://www.ufcstats.com/fighter-details/39d91e95949de3d9,Felicia,Spencer,http://www.ufcstats.com/fighter-details/d3f5d33d61cd00c9,Norma,Dumont,30.0,30.0,-1.0,0.0,1.0,0.0,0.0,0.5,56.75,61.5,102.0,101.5,0.56,0.61,35.5,0.0,77.5,88.5,0.46,0.56,24.0,0.0,62.0,75.5,0.39,0.52,4.25,0.0,7.0,8.0,0.61,0.75,7.25,0.0,8.5,5.0,0.85,0.8,19.25,0.0,54.75,70.5,0.35,0.51,4.0,0.0,7.0,9.0,0.57,0.72,12.25,0.0,15.75,9.0,0.78,0.78,0.5,0.0,4.75,3.5,0.11,0.43,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,132.75,190.0
4,http://www.ufcstats.com/fighter-details/1ae8f3c723aacff4,Ricardo,Ramos,http://www.ufcstats.com/fighter-details/9abc648e76c4493a,Bill,Algeo,25.0,31.0,-3.0,0.0,-1.0,-6.0,0.29,0.0,33.57,142.0,79.29,222.33,0.42,0.64,29.0,0.0,74.14,179.67,0.39,0.57,18.14,0.0,55.71,136.0,0.33,0.5,5.14,0.0,9.57,30.33,0.54,0.75,5.71,0.0,8.86,13.33,0.65,0.85,23.14,0.0,65.86,155.33,0.35,0.52,2.43,0.0,3.29,18.33,0.74,0.85,3.43,0.0,5.0,6.0,0.69,0.89,1.29,0.0,2.29,2.0,0.56,0.33,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.33,69.43,111.67
5,http://www.ufcstats.com/fighter-details/0a1942069c9ad6b6,Jack,Hermansson,http://www.ufcstats.com/fighter-details/4144798612ef96e5,Edmen,Shahbazyan,32.0,23.0,-1.0,0.0,3.0,9.0,0.0,0.67,62.67,20.83,120.25,39.33,0.52,0.53,44.92,0.0,100.42,37.83,0.45,0.52,29.5,0.0,80.17,30.0,0.37,0.45,6.92,0.0,9.25,6.83,0.75,0.76,8.5,0.0,11.0,1.0,0.77,0.83,29.83,0.0,80.17,23.33,0.37,0.41,5.25,0.0,6.92,8.17,0.76,0.76,9.83,0.0,13.33,6.33,0.74,0.61,1.17,0.0,3.42,3.67,0.34,0.41,0.0,0.0,0.42,0.17,0.0,1.0,0.0,0.0,111.83,106.5
6,http://www.ufcstats.com/fighter-details/bd58d34e39b7b12a,Ben,Rothwell,http://www.ufcstats.com/fighter-details/7a5e8c94a86f9895,Chris,Barnett,39.0,34.0,7.0,0.0,3.0,5.0,0.39,0.0,44.65,0.0,92.13,0.0,0.48,0.0,32.83,0.0,78.7,0.0,0.42,0.0,23.39,0.0,67.43,0.0,0.35,0.0,5.52,0.0,6.96,0.0,0.79,0.0,3.91,0.0,4.3,0.0,0.91,0.0,24.39,0.0,66.04,0.0,0.37,0.0,5.04,0.0,7.61,0.0,0.66,0.0,3.39,0.0,5.04,0.0,0.67,0.0,0.39,0.0,1.17,0.0,0.33,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,78.61,0.0
7,http://www.ufcstats.com/fighter-details/523fa774700d7d3f,Court,McGee,http://www.ufcstats.com/fighter-details/6f7c616b98e18c29,Claudio,Silva,36.0,38.0,0.0,0.0,4.0,-2.0,0.12,0.0,91.47,61.67,213.59,113.5,0.43,0.54,67.59,0.0,186.29,80.33,0.36,0.42,36.59,0.0,137.82,56.83,0.27,0.34,13.71,0.0,27.12,12.83,0.51,0.48,17.29,0.0,21.35,10.67,0.81,0.77,57.53,0.0,170.41,63.5,0.34,0.36,4.24,0.0,7.94,2.5,0.53,0.6,5.82,0.0,7.94,14.33,0.73,0.65,1.47,0.0,6.76,7.5,0.22,0.29,0.0,0.0,0.35,1.17,0.0,0.43,0.06,0.0,158.18,228.17
8,http://www.ufcstats.com/fighter-details/294aa73dbf37d281,Bruno,Silva,http://www.ufcstats.com/fighter-details/f6e5972c9d16c40e,Victor,Rodriguez,31.0,28.0,-1.0,0.0,-2.0,3.0,0.75,0.0,58.0,9.0,105.75,16.0,0.55,0.56,37.25,0.0,80.5,13.0,0.46,0.46,20.75,0.0,58.5,11.0,0.35,0.45,8.5,0.0,11.5,2.0,0.74,0.5,8.0,0.0,10.5,0.0,0.76,0.0,27.75,0.0,65.0,12.0,0.43,0.5,4.25,0.0,5.75,1.0,0.74,0.0,5.25,0.0,9.75,0.0,0.54,0.0,2.5,0.0,8.0,3.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.5,54.0
9,http://www.ufcstats.com/fighter-details/6751eacd16bd59bc,Josh,Culibao,http://www.ufcstats.com/fighter-details/0a73acff6325c1e2,Nuerdanbieke,Shayilan,26.0,27.0,2.0,0.0,4.0,-1.0,0.5,0.0,31.5,0.0,80.0,0.0,0.39,0.0,29.0,0.0,76.0,0.0,0.38,0.0,13.0,0.0,49.5,0.0,0.26,0.0,13.0,0.0,23.0,0.0,0.57,0.0,3.0,0.0,3.5,0.0,0.86,0.0,24.5,0.0,69.0,0.0,0.36,0.0,2.5,0.0,3.5,0.0,0.71,0.0,2.0,0.0,3.5,0.0,0.57,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0
10,http://www.ufcstats.com/fighter-details/9ada30894bf04e19,David,Dvorak,http://www.ufcstats.com/fighter-details/4a043165cf47cab2,Juancamilo,Ronderos,28.0,26.0,1.0,0.0,,2.0,0.0,0.0,80.5,0.0,154.0,0.0,0.52,0.0,67.5,0.0,139.5,0.0,0.48,0.0,32.5,0.0,88.0,0.0,0.37,0.0,16.0,0.0,28.0,0.0,0.57,0.0,19.0,0.0,23.5,0.0,0.81,0.0,56.0,0.0,121.0,0.0,0.46,0.0,10.5,0.0,17.5,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.5,0.0
11,http://www.ufcstats.com/fighter-details/813550bc53b15fb0,Yancy,Medeiros,http://www.ufcstats.com/fighter-details/38c626ca912c7bac,Damir,Hadzovic,33.0,34.0,1.0,0.0,5.0,-1.0,0.6,0.29,35.4,40.14,95.27,75.29,0.37,0.53,33.13,0.0,92.6,61.14,0.36,0.46,21.47,0.0,75.07,50.43,0.29,0.4,7.87,0.0,13.0,8.14,0.61,0.68,3.8,0.0,4.53,2.57,0.84,1.0,27.93,0.0,85.2,50.0,0.33,0.41,3.13,0.0,4.6,3.43,0.68,0.88,2.07,0.0,2.8,7.71,0.74,0.67,0.07,0.0,0.27,0.71,0.25,0.6,0.0,0.0,0.27,0.14,0.0,0.0,0.2,0.0,27.33,48.57
12,http://www.ufcstats.com/fighter-details/029afd138865d20a,Rafael,Alves,http://www.ufcstats.com/fighter-details/135d124172a0bea3,Damir,Ismagulov,30.0,30.0,-2.0,0.0,-6.0,0.0,0.0,0.33,16.0,80.0,35.0,159.33,0.46,0.5,16.0,0.0,35.0,131.0,0.46,0.43,6.0,0.0,20.0,85.0,0.3,0.29,5.0,0.0,9.0,32.67,0.56,0.61,5.0,0.0,6.0,13.33,0.83,0.85,16.0,0.0,35.0,116.67,0.46,0.41,0.0,0.0,0.0,2.0,0.0,0.83,0.0,0.0,0.0,12.33,0.0,0.59,0.0,0.0,0.0,5.33,0.0,0.31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,220.67
